sample_id,pae_mean,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry,pae_run
vdjdb_full_10092_rs_0_n0_iptm_filtered,11.208102,26.5,9.007511,7.0,1.6,23.4,0.4293628808864266,0.3767313019390582,2.446676,0
vdjdb_full_10092_rs_1_n0_iptm_filtered,11.001928,27.3,9.783631,4.9,1.3,24.6,0.5032139577594124,0.39669421487603307,2.375941,0
vdjdb_full_10092_rs_2_n0_iptm_filtered,5.513675,18.4,3.4148567,4.9,1.4,10.2,0.5029585798816568,0.007889546351084813,2.0635107,0
vdjdb_full_10092_rs_3_n0_iptm_filtered,3.6461077,12.2,1.811806,3.45,1.5,5.95,0.8105536332179931,0.0,1.2596885,0
vdjdb_full_10092_rs_4_n0_iptm_filtered,14.908026,28.8,12.034562,17.95,1.4,27.7,0.43209876543209874,0.5,0.9123456,0
vdjdb_full_10092_ss_0_n0_iptm_filtered,4.993144,17.7,3.171554,4.2,1.4,9.3,0.546398891966759,0.006925207756232687,1.7400278,0
vdjdb_full_10092_ss_1_n0_iptm_filtered,14.825444,29.4,11.418557,9.95,1.9,28.4,0.3431952662721893,0.4526627218934911,1.8721893,0
vdjdb_full_10092_ss_2_n0_iptm_filtered,2.5469136,6.0,1.3045114,2.5,0.8,4.1,0.9382716049382716,0.0,0.7777778,0
vdjdb_full_10092_ss_3_n0_iptm_filtered,9.1,23.6,9.052954,3.05,0.9,21.67,0.625,0.375,1.0083332,0
vdjdb_full_10092_ss_4_n0_iptm_filtered,13.879132,29.1,12.529873,3.85,1.0,27.6,0.5165289256198347,0.4834710743801653,0.7780991,0
vdjdb_full_10103_rs_0_n0_iptm_filtered,12.863889,26.9,9.828447,9.35,1.7,24.7,0.390625,0.46875,2.4416666,0
vdjdb_full_10103_rs_1_n0_iptm_filtered,11.535804,26.8,9.180545,7.7,1.3,24.1,0.37880886426592797,0.3739612188365651,2.9076178,0
vdjdb_full_10103_rs_2_n0_iptm_filtered,2.3478515,7.7,1.2092398,2.1,1.0,3.9,0.9541015625,0.0,0.8613281,0
vdjdb_full_10103_rs_3_n0_iptm_filtered,11.463101,22.9,7.5633783,9.9,1.98,20.9,0.3045267489711934,0.44170096021947874,2.3967078,0
vdjdb_full_10103_rs_4_n0_iptm_filtered,11.838735,27.7,10.006767,6.05,1.5,25.3,0.42669753086419754,0.38503086419753085,2.0753088,0
vdjdb_full_10103_ss_0_n0_iptm_filtered,14.775696,28.3,10.35351,12.9,1.5,26.1,0.2777777777777778,0.4826388888888889,1.4659724,0
vdjdb_full_10103_ss_1_n0_iptm_filtered,2.6687276,5.7,1.0243803,2.6,1.3,4.0,0.9785969084423306,0.0,0.6002378,0
vdjdb_full_10103_ss_2_n0_iptm_filtered,3.4074287,11.8,1.5965121,3.3,1.4,5.5,0.8416326530612245,0.0,1.0702041,0
vdjdb_full_10103_ss_3_n0_iptm_filtered,8.388841,21.6,6.6262403,4.8,1.4,17.7,0.504325259515571,0.26211072664359863,2.101557,0
vdjdb_full_10103_ss_4_n0_iptm_filtered,9.178514,28.9,10.462023,3.0,0.9,25.5,0.6611570247933884,0.2975206611570248,1.1801653,0
vdjdb_full_10117_rs_0_n0_iptm_filtered,2.274074,4.6,1.0646715,2.3,0.8,3.7,1.0,0.0,0.54320985,0
vdjdb_full_10117_rs_1_n0_iptm_filtered,4.730727,12.1,2.8770823,3.8,1.4,8.5,0.551440329218107,0.0,1.0192044,0
vdjdb_full_10117_rs_2_n0_iptm_filtered,14.437465,30.9,12.416173,7.3,1.5,30.3,0.34710743801652894,0.39669421487603307,1.3443526,0
vdjdb_full_10117_rs_3_n0_iptm_filtered,12.019523,28.0,9.524104,7.3500004,1.7,25.1,0.3611111111111111,0.38117283950617287,2.5155866,0
vdjdb_full_10117_rs_4_n0_iptm_filtered,3.5940585,15.0,1.9729859,3.3,1.4,5.95,0.8125,0.0,1.3683641,0
vdjdb_full_10117_ss_0_n0_iptm_filtered,3.8266582,12.1,1.9460428,3.7,1.4,6.37,0.7806122448979592,0.0,1.369643,0
vdjdb_full_10117_ss_1_n0_iptm_filtered,13.509334,29.7,10.863595,7.55,1.7,27.0,0.37666666666666665,0.42333333333333334,2.2724445,0
vdjdb_full_10117_ss_2_n0_iptm_filtered,9.815221,25.3,6.673023,10.0,1.2,18.2,0.3507728894173603,0.31866825208085614,2.9032106,0
vdjdb_full_10117_ss_3_n0_iptm_filtered,7.362426,21.0,4.8006825,6.3,1.7,13.9,0.42092746730083236,0.04875148632580262,1.7074913,0
vdjdb_full_10117_ss_4_n0_iptm_filtered,2.4493828,5.7,1.2330955,2.4,0.8,4.2,0.9629629629629629,0.0,0.70123464,0
vdjdb_full_10146_rs_0_n0_iptm_filtered,7.614678,20.9,4.8210034,7.4,1.8,13.8,0.4156378600823045,0.05898491083676269,1.8888888,0
vdjdb_full_10146_rs_1_n0_iptm_filtered,13.478082,27.5,10.207572,11.0,1.6,25.46,0.3552,0.4688,2.1196802,0
vdjdb_full_10146_rs_2_n0_iptm_filtered,9.667579,25.5,8.08171,5.2,1.7,22.1,0.47828673408685307,0.34146341463414637,2.7702556,0
vdjdb_full_10146_rs_3_n0_iptm_filtered,9.960294,26.0,8.268482,5.1499996,1.7,22.0,0.4826989619377163,0.38408304498269896,2.6461937,0
vdjdb_full_10146_rs_4_n0_iptm_filtered,14.675993,28.8,11.4312,10.1,1.5,27.6,0.3648393194706994,0.4763705103969754,1.6967863,0
vdjdb_full_10146_ss_0_n0_iptm_filtered,10.947531,26.4,8.681071,8.05,1.3,22.9,0.41203703703703703,0.3819444444444444,3.0512347,0
vdjdb_full_10146_ss_1_n0_iptm_filtered,5.134547,15.4,2.8430378,5.0,1.6,9.0,0.4869927159209157,0.001040582726326743,1.7396462,0
vdjdb_full_10146_ss_2_n0_iptm_filtered,10.0425625,24.6,8.078208,9.200001,1.1,19.4,0.48760330578512395,0.4690082644628099,1.5429753,0
vdjdb_full_10146_ss_3_n0_iptm_filtered,2.3567903,5.4,1.1663955,2.3,0.8,3.9,0.9876543209876543,0.0,0.69876546,0
vdjdb_full_10146_ss_4_n0_iptm_filtered,5.6858025,16.2,3.4136705,5.1499996,1.7,10.65,0.48996913580246915,0.005401234567901234,2.262037,0
vdjdb_full_10155_rs_0_n0_iptm_filtered,7.15528,21.2,4.7732043,6.4,1.4,14.12,0.4279155188246097,0.05785123966942149,2.4604223,0
vdjdb_full_10155_rs_1_n0_iptm_filtered,8.4885845,21.8,6.3268743,5.6,1.4,17.1,0.4708680142687277,0.2211652794292509,1.7082045,0
vdjdb_full_10155_rs_2_n0_iptm_filtered,5.3739796,19.4,3.268554,5.1,1.5,9.4,0.4756235827664399,0.013605442176870748,2.2636056,0
